City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,49.5,79,100,0.98,overcast clouds
1,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,81,75,11.5,broken clouds
2,Mataura,NZ,-46.1927,168.8643,52.48,83,100,7.7,overcast clouds
3,Ilulissat,GL,69.2167,-51.1,41.02,56,75,13.8,broken clouds
4,Peleduy,RU,59.6289,112.7406,50.76,86,73,3.67,broken clouds
5,Ostrovnoy,RU,68.0531,39.5131,32.07,85,100,18.88,light snow
6,Rikitea,PF,-23.1203,-134.9692,75.58,77,15,13.71,few clouds
7,Sorland,NO,67.667,12.6934,49.86,81,100,15.99,overcast clouds
8,Sangar,RU,63.9242,127.4739,43.83,70,100,1.83,overcast clouds
9,Waipawa,NZ,-41.4122,175.5153,44.19,82,0,2.48,clear sky
10,Bousso,TD,10.4795,16.7117,105.48,11,14,5.64,few clouds
11,Haicheng,CN,40.8516,122.7475,69.19,55,100,6.91,overcast clouds
12,Jamestown,US,42.097,-79.2353,58.95,53,0,6.91,clear sky
13,Sergeyevka,KZ,53.88,67.4158,66.0,52,82,15.84,broken clouds
14,Ushuaia,AR,-54.8,-68.3,35.22,75,98,6.08,overcast clouds
15,Takab,IR,36.4009,47.1133,59.52,40,17,24.27,few clouds
16,Punta Arenas,CL,-53.15,-70.9167,37.42,80,40,16.11,scattered clouds
17,Marsh Harbour,BS,26.5412,-77.0636,79.14,74,8,15.79,clear sky
18,Georgetown,MY,5.4112,100.3354,84.13,92,20,0.0,few clouds
19,Butaritari,KI,3.0707,172.7902,81.27,80,100,12.75,light rain
20,Chuy,UY,-33.6971,-53.4616,62.78,62,79,6.06,broken clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,78.76,96,47,1.99,scattered clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,100,10.36,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,64.27,78,0,12.66,clear sky
24,Chokurdakh,RU,70.6333,147.9167,32.02,95,100,1.52,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,66.52,56,100,6.49,overcast clouds
26,Guerrero Negro,MX,27.9769,-114.0611,62.53,73,8,11.59,clear sky
27,Bethel,US,41.3712,-73.414,69.58,57,0,11.5,clear sky
28,Jalu,LY,29.0331,21.5482,90.45,7,0,7.25,clear sky
29,Gusau,NG,12.1628,6.6614,91.74,32,100,9.64,overcast clouds
30,Esperance,AU,-33.8667,121.9,61.86,73,88,21.99,overcast clouds
31,Clyde River,CA,70.4692,-68.5914,17.83,73,0,21.85,clear sky
32,Santiago,CL,-33.4569,-70.6483,67.28,47,75,4.61,broken clouds
33,Luderitz,NA,-26.6481,15.1594,68.81,51,74,5.1,broken clouds
34,Nikolskoye,RU,59.7035,30.7861,60.87,41,13,9.28,few clouds
35,Husavik,IS,66.0449,-17.3389,40.06,85,93,3.6,overcast clouds
36,Sabang,ID,5.8933,95.3214,84.34,76,96,19.57,overcast clouds
37,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,3.44,broken clouds
38,Kavieng,PG,-2.5744,150.7967,82.72,71,98,16.15,overcast clouds
39,Klaksvik,FO,62.2266,-6.589,49.12,88,78,11.1,broken clouds
40,Oktyabrskoye,RU,43.0645,44.7417,53.74,100,100,4.47,light intensity shower rain
41,Okhotsk,RU,59.3833,143.3,32.47,91,96,7.63,overcast clouds
42,Tuatapere,NZ,-46.1333,167.6833,50.59,84,88,10.96,overcast clouds
43,Amursk,RU,50.2261,136.8994,50.41,75,100,1.19,overcast clouds
44,Nishihara,JP,26.1842,127.7558,69.85,97,100,23.02,shower rain
45,Yerbogachen,RU,61.2767,108.0108,54.73,64,96,5.99,overcast clouds
46,Barrow,US,71.2906,-156.7887,21.22,86,100,19.57,mist
47,Ahipara,NZ,-35.1667,173.1667,54.39,68,69,4.63,broken clouds
48,Dzaoudzi,YT,-12.7887,45.2699,82.29,69,0,8.05,clear sky
49,Tarko-Sale,RU,64.9225,77.785,52.41,50,36,4.85,scattered clouds
