City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,75.58,few clouds,-23.1203,-134.9692,People ThankYou
17,Marsh Harbour,BS,79.14,clear sky,26.5412,-77.0636,Abaco Beach Resort
18,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
19,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Sabang,ID,84.34,overcast clouds,5.8933,95.3214,Hotel Citra
38,Kavieng,PG,82.72,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
48,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
52,Mangrol,IN,84.49,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
53,Kapaa,US,73.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Eyl,SO,81.95,overcast clouds,7.9803,49.8164,Amiin Hotel
62,Majene,ID,79.07,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
65,Saint-Francois,FR,71.04,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
68,Cockburn Town,TC,79.27,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
69,San Patricio,US,82.27,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Galle,LK,79.36,overcast clouds,6.0367,80.217,Amangalla
74,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
78,Akyab,MM,81.28,overcast clouds,20.15,92.9,Hotel Memory
80,Atuona,PF,78.6,few clouds,-9.8,-139.0333,Villa Enata
84,Santiago Del Estero,AR,75.76,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
87,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
88,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
89,Mto Wa Mbu,TZ,76.35,scattered clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
